boughtDate,price,count
2016-11-08,2010450,15
2016-11-09,1127100,10
2016-11-10,3888399,14
2016-11-11,44181550,78
2016-11-12,1458099,10
2016-11-13,6489950,16
2016-11-14,212000,2
2016-11-15,11137400,16
2016-11-16,4367000,16
2016-11-17,2452500,14
2016-11-18,4345000,12
2016-11-19,3070250,14
2016-11-20,2417100,9
2016-11-21,5467400,7
2016-11-22,13090350,16
2016-11-23,964350,11
2016-11-24,12804900,14
2016-11-25,5548400,13
2016-11-26,1444100,13
2016-11-27,687000,11
2016-11-28,6705450,18
2016-11-29,5123800,22
2016-11-30,4924000,23
2016-12-01,8093020,20
2016-12-02,5923500,14
2016-12-03,2620450,11
2016-12-04,2218000,13
2016-12-05,10669700,16
2016-12-06,4458000,13
2016-12-07,12259000,15
2016-12-08,8117000,8
2016-12-09,12008000,13
2016-12-10,9299000,12
2016-12-11,35650500,14
2016-12-12,94293300,109
2016-12-13,71157082,62
2016-12-14,67386440,100
2016-12-15,15711000,26
2016-12-16,13040900,25
2016-12-17,11070300,25
2016-12-18,15021600,25
2016-12-19,5286300,16
2016-12-20,19164500,23
2016-12-21,10017600,19
2016-12-22,8877500,13
2016-12-23,6544400,12
2016-12-24,24610999,19
2016-12-25,13725636,16
2016-12-26,7557500,13
2016-12-27,17061000,20
2016-12-28,5135000,10
2016-12-29,4720900,18
2016-12-30,18401500,18
2016-12-31,16510500,9
2017-01-01,9726500,10
2017-01-02,19242599,23
2017-01-03,28962600,20
2017-01-04,11100900,20
2017-01-05,19310500,14
2017-01-06,6603000,12
2017-01-07,6208950,10
2017-01-08,4684000,5
2017-01-09,25256900,23
2017-01-10,24447200,22
2017-01-11,6852350,13
2017-01-12,7925200,13
2017-01-13,5789400,16
2017-01-14,2826100,13
2017-01-15,15983400,13
2017-01-16,14613300,25
2017-01-17,4225500,14
2017-01-18,16060198,27
2017-01-19,5507000,11
2017-01-20,10361325,15
2017-01-21,49000,1
2017-01-22,8223400,14
2017-01-23,1540850,6
2017-01-24,5441500,8
2017-01-25,8666250,14
2017-01-26,3555800,12
2017-01-27,9337400,22
2017-01-28,7605100,11
2017-01-29,7291000,9
2017-01-30,18353203,24
2017-01-31,12207653,24
2017-02-01,16034050,30
2017-02-02,8994250,18
2017-02-03,12432700,11
2017-02-04,8852599,19
2017-02-05,10269800,14
2017-02-06,16365003,17
2017-02-07,23944799,26
2017-02-08,5413094,14
2017-02-09,4374400,12
2017-02-10,6955950,18
2017-02-11,11320500,12
2017-02-12,19878500,13
2017-02-13,10434800,19
2017-02-14,7465500,9
2017-02-15,13292799,10
2017-02-16,13445500,23
2017-02-17,9667293,15
2017-02-18,13538000,7
2017-02-19,925000,4
2017-02-20,7501500,12
2017-02-21,7259653,17
2017-02-22,4056221,13
2017-02-23,3464000,8
2017-02-24,10533500,15
2017-02-25,1108800,5
2017-02-26,3603900,9
2017-02-27,16458553,18
2017-02-28,13939753,16
2017-03-01,13581940,24
2017-03-02,7577900,18
2017-03-03,10737853,13
2017-03-04,9582000,9
2017-03-05,3780400,9
2017-03-06,13299600,14
2017-03-07,11168900,14
2017-03-08,27881300,14
2017-03-09,4905100,13
2017-03-10,3268000,9
2017-03-11,7380500,10
2017-03-12,12296700,8
2017-03-13,19857899,16
2017-03-14,12086000,12
2017-03-15,5405453,16
2017-03-16,11629000,5
2017-03-17,7727700,18
2017-03-18,6384400,12
2017-03-19,5360100,9
2017-03-20,8506500,11
2017-03-21,49352800,51
2017-03-22,30439953,44
2017-03-23,50320500,51
2017-03-24,16427653,18
2017-03-25,5384500,6
2017-03-26,15065991,13
2017-03-27,17131500,14
2017-03-28,16413500,14
2017-03-29,11823300,15
2017-03-30,16879000,16
2017-03-31,6769000,15
2017-04-01,11578800,16
2017-04-02,13210000,15
2017-04-03,13317500,19
2017-04-04,25918100,18
2017-04-05,9552700,18
2017-04-06,8660500,9
2017-04-07,324000,3
